SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
CKNPMXBF-R031;BF-R031;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 3 GN1/1;"PRIMAX Blast Chiller Fast Line 3 levels GN1/1 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic membrane control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";Essential excellence blast chiller with 3 levels GN1/1 capacity. AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 50mm thick. Electronic membrane control with pre-cooling blast chilling and shock freezing functions.;620;mm;670;mm;670;mm;52;Kg;3050;;EUR;;instock;cold equipment>blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;8 kg/cicle;Yield Shock Freezing;5 kg/cicle;power;0.727 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BF-R031.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BF-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BF-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BF-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BF-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BF-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBF-R051;BF-R051;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 5 GN1/1+600x400;"PRIMAX Blast Chiller Fast Line 5 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic membrane control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";Fast line blast chiller with 5 levels GN1/1-EN1 capacity. AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Electronic membrane control with pre-cooling blast chilling and shock freezing functions.;790;mm;720;mm;860;mm;79;Kg;3880;;EUR;;instock;cold equipment>blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;12 kg/cicle;Yield Shock Freezing;8 kg/cicle;power;0.94 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BF-R051.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BF-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BF-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BF-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BF-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BF-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBF-R101;BF-R101;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 10 GN1/1+600x400;"PRIMAX Blast Chiller Fast Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic membrane control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";Fast line blast chiller with 10 levels GN1/1-EN1 capacity. AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Electronic membrane control with pre-cooling blast chilling and shock freezing functions.;790;mm;820;mm;1430;mm;128;Kg;5710;;EUR;;instock;cold equipment>blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;25 kg/cicle;Yield Shock Freezing;15 kg/cicle;power;1.55 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BF-R101.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BF-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BF-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BF-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BF-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BF-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBT-R031;BT-R031;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 3 GN1/1;"PRIMAX Blast Chiller Top Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic touch control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";"Top line blast chiller with 3 levels GN1/1 capacity and touch control display 5"". AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 50mm thick. Advanced touch electronic control with HACCP system and 40 programs including 6 pre-set recipes.";620;mm;670;mm;670;mm;55;Kg;3850;;EUR;;instock;cold equipment, blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;12 kg/cicle;Yield Shock Freezing;8 kg/cicle;power;0.504 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BT-R031.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BT-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BT-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BT-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BT-R031.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BT-R031.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBT-R051;BT-R051;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 5 GN1/1+600x400;"PRIMAX Blast Chiller Top Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic touch control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";"Top line blast chiller with 5 levels GN1/1-EN1 capacity and touch control display 5"". AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Advanced touch electronic control with HACCP system and 40 programs including 6 pre-set recipes.";820;mm;825;mm;880;mm;95;Kg;4970;;EUR;;instock;cold equipment, blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;18 kg/cicle;Yield Shock Freezing;12 kg/cicle;power;1.373 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BT-R051.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BT-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BT-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BT-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BT-R051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BT-R051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBT-R101;BT-R101;PRIMAX;Blast Chiller - Shock Freezer  PRIMAX levels10 GN1/1+600x400;"PRIMAX Blast Chiller Top Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic touch control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";"Top line blast chiller with 10 levels GN1/1-EN1 capacity and touch control display 5"". AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Advanced touch electronic control with HACCP system and 40 programs including 6 pre-set recipes.";820;mm;825;mm;1690;mm;155;Kg;6860;;EUR;;instock;cold equipment, blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;36 kg/cicle;Yield Shock Freezing;25 kg/cicle;power;2.726 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BT-R101.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BT-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BT-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BT-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BT-R101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BT-R101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBT-P051;BT-P051;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 5 levels 600x400;"PRIMAX Blast Chiller Top Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic touch control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";"Top line pastry blast chiller with 5 levels (600x400) capacity and touch control display 5"". AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Advanced touch electronic control with HACCP system and 40 programs including 6 pre-set recipes.";820;mm;825;mm;880;mm;95;Kg;5070;;EUR;;instock;cold equipment, blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;18 kg/cicle;Yield Shock Freezing;12 kg/cicle;power;1.373 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BT-P051.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BT-P051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BT-P051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BT-P051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BT-P051.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BT-P051.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXBT-P101;BT-P101;PRIMAX;Blast Chiller - Shock Freezer PRIMAX levels 10 levels 600x400;"PRIMAX Blast Chiller Top Line 10 levels GN1/1+ 600x400 with 67 mm pitch. Refrigerant gas R290. High density polyurethane foam insulation 60 mm thick. 
Electronic touch control, programmable. Conical core probe included. Heating element to ensure perfect adherence of the  door gasket. Manual defrosting.";"Top line pastry blast chiller with 10 levels (600x400) capacity and touch control display 5"". AISI 304 stainless steel construction with scotch-brite finish exterior and polished interior. High density polyurethane foam insulation 60mm thick. Advanced touch electronic control with HACCP system and 40 programs including 6 pre-set recipes.";820;mm;825;mm;1690;mm;155;Kg;7000;;EUR;;instock;cold equipment, blast chiller;Primax, cold equipment, blast chiller;;;;simple;;Yield Blast Chilling;36 kg/cicle;Yield Shock Freezing;25 kg/cicle;power;2.726 kW;voltage;230/1/50;refrigerant gas;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_BT-P101.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_BT-P101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_BT-P101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_BT-P101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_BT-P101.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_BT-P101.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXRB7RDXXXX1;RB7RDXXXX1;PRIMAX;Beverage Counter 1 door;1 door beverage counter with tub;Beverage counter with 1 door and tub. Monocoque construction in AISI304 stainless steel with Scotch Brite external finish. High density polyurethane foam insulation 60mm thick. Environmentally friendly refrigerant gas R290. Electronic control with visual and audible alarms.;930;mm;685;mm;850;mm;;;2475;;EUR;;;Beverage Counters;R290,air condensation,electronic control,with tub;;;;simple;;internal_volume;210 Lt;temperature_range;+2/+10°C;voltage;230/1/50;power;0.306 kW;refrigerant;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_RB7RDXXXX1.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_RB7RDXXXX1.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_RB7RDXXXX1.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_RB7RDXXXX1.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_RB7RDXXXX1.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_RB7RDXXXX1.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
CKNPMXRB7RDXXX11;RB7RDXXX11;PRIMAX;Beverage Counter 2 doors;2 doors beverage counter with tub;Beverage counter with 2 doors and tub. Monocoque construction in AISI304 stainless steel with Scotch Brite external finish. High density polyurethane foam insulation 60mm thick. Environmentally friendly refrigerant gas R290. Electronic control with visual and audible alarms.;1510;mm;685;mm;850;mm;;;3310;;EUR;;;Beverage Counters;R290,air condensation,electronic control,with tub;;;;simple;;internal_volume;462 Lt;temperature_range;+2/+10°C;voltage;230/1/50;power;0.306 kW;refrigerant;R290;;;active;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_video_RB7RDXXX11.mp4;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_RB7RDXXX11.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_2_RB7RDXXX11.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_image_3_RB7RDXXX11.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_datasheet_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_manual_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_technicalmanual_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_drawing_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_catalogue_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_photo_RB7RDXXX11.jpg;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_card_RB7RDXXX11.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/primax/refs/heads/main/primax_price.pdf
